[18:45:13.186], STTP, 1, , , , , , send_share, CPU: 0.995167 ms, wall: 1.010746 ms, 1
[18:45:13.202], STTP, 1, <--, CLIENT, 77, list, 60bdcdf9, ROUTE, , , 1
[18:45:13.203], STTP, 1, -->, CLIENT, 77, list, 55938308, ROUTE, , , 1
[18:45:13.205], STTP, 1, , , , , , send_share, CPU: 1.199265 ms, wall: 2.453913 ms, 1
[18:45:13.205], STTP, 1, <--, CLIENT, 90, list, 4fd2e030, ROUTE, , , 1
[18:45:13.216], STTP, 1, -->, CLIENT, 90, list, a518600c, ROUTE, , , 1
[18:45:13.216], STTP, 1, , , , , , send_share, CPU: 1.179817 ms, wall: 1.239447 ms, 1
[18:45:13.217], STTP, 1, <--, CLIENT, 100, list, 25f518db, ROUTE, , , 1
[18:45:13.218], STTP, 1, -->, CLIENT, 100, list, 789b1c19, ROUTE, , , 1
[18:45:13.219], STTP, 1, , , , , , send_share, CPU: 1.108958 ms, wall: 1.128319 ms, 1
